country,rate,currency
Canada,na,Canadian dollar
China,4.7044,Chinese renminbi
Europe,0.6144,European euro
Hong Kong,5.2013,Hong Kong dollar
India,54.8696,Indian rupee
Indonesia,10122.2960,Indonesian rupiah
Japan,93.3232,Japanese yen
Malaysia,3.0297,Malaysian ringgit
Taiwan,20.6955,New Taiwan dollar
New Zealand,1.0821,New Zealand dollar
Philippines,36.9584,Philippine peso
Singapore,0.8922,Singapore dollar
South Korean,867.5052,South Korean won
Switzerland,0.5976,Swiss franc
Thailand,23.1159,Thai baht
United Kingdom,0.5345,UK pound sterling
United States,0.6644,United States dollar
Vietnam,15831.9320,Vietnamese dong
